,het_NB_f4,het_NB_f5
g01324,392,327
g01325,1,1
g01326,0,0
g01327,47,40
g01328,163,136
g01329,35,9
g01330,661,395
g01331,25,32
g01332,3,1
g01333,335,347
g01334,281,177
g01335,6019,3339
g01336,4,8
g01337,0,0
g01338,0,0
g01339,6,4
g01340,431,411
g01341,0,0
g01342,1712,2053
g01343,181,68
g01344,0,0
g01345,3534,2311
g01346,21,12
g01347,585,537
g01348,927,776
g01349,181,207
g01350,8,5
g01351,0,0
g01352,10,7
g01353,7,20
g01354,66,113
g01355,364,320
g01356,84,87
g01357,848,968
g01358,130,130
g01359,1,3
g01360,1,5
g01361,17,59
g01362,0,0
g01363,0,0
g01364,4,21
g01365,0,0
g01366,209,228
g01367,1,0
g01368,0,28
g01369,228,272
g01370,1017,833
g01371,0,0
g01372,1018,1002
g01373,0,2
g01374,4,1
g01375,180,122
g01376,1843,1979
g01377,1,0
g01378,0,0
g01379,1,2
g01380,0,0
g01381,14,56
g01382,10,66
g01383,97,119
g01384,1,0
g01385,0,0
g01386,0,0
g01387,272,211
g01388,22,38
g01389,2,3
g01390,0,0
g01391,0,0
g01392,359,285
g01393,18,34
g01394,3,4
g01395,1,1
g01396,75,226
g01397,2412,1641
g01398,251,186
g01399,1,7
g01400,0,0
g01401,126,176
g01402,242,241
g01403,7,34
g01404,35,42
g01405,6,12
g01406,1,1
g01407,15,39
g01408,7,22
g01409,0,1
g01410,3,0
g01411,172,99
g01412,9,6
g01413,63,62
g01414,101,105
g01415,247,237
g01416,701,674
g01417,0,2
g01418,15,95
g01419,339,352
g01420,26,76
g01421,77,62
g01422,527,385
g01423,3180,1947
g01424,2,3
g01425,121,60
g01426,0,0
g01427,2,4
g01428,85,83
g01429,39,20
g01430,2,2
g01431,6,19
g01432,0,0
g01433,0,1
g01434,7,26
g01435,0,4
g01436,5,3
g01437,127,149
g01438,2398,1728
g01439,164,115
g01440,26,21
g01441,2,4
g01442,1,9
g01443,1,9
g01444,358,393
g01445,10,10
g01446,0,2
g01447,3,3
g01448,1754,1527
g01449,0,0
g01450,21,170
g01451,5,14
g01452,5,15
g01453,0,0
g01454,0,1
g01455,7,6
g01456,179,142
g01457,2,0
g01458,0,0
g01459,0,0
